date, G Fund, F Fund, C Fund, S Fund, I Fund
4/17/14,14.3859,16.1278,24.2371,33.7924,25.7933
4/16/14,14.3849,16.1783,24.2026,33.6592,25.6676
4/15/14,14.384,16.1851,23.9515,33.2411,25.3585
4/14/14,14.3831,16.1784,23.7902,33.0772,25.4922
4/11/14,14.3802,16.193,23.5963,32.9534,25.5227
4/10/14,14.3793,16.186,23.8196,33.4175,25.5961
4/9/14,14.3783,16.1341,24.3273,34.2861,26.0134
4/8/14,14.3774,16.1292,24.0626,33.8281,25.7627
4/7/14,14.3764,16.1157,23.9646,33.5732,25.7643
4/4/14,14.3736,16.0862,24.225,34.1476,25.8286
4/3/14,14.3727,16.0321,24.5316,34.8268,25.8819
4/2/14,14.3717,16.0165,24.5587,35.1108,25.9
4/1/14,14.3708,16.0471,24.4845,35.0103,25.8611
3/31/14,14.3699,16.0656,24.3115,34.5813,25.7566
3/28/14,14.3672,16.0684,24.1194,34.0495,25.6022
3/27/14,14.3663,16.0926,24.0069,33.9377,25.451
3/26/14,14.3654,16.0722,24.0482,33.9893,25.401
3/25/14,14.3646,16.0392,24.2174,34.5032,25.1907
3/24/14,14.3637,16.034,24.1085,34.5135,24.9784
3/21/14,14.361,16.023,24.226,34.916,25.0623
3/20/14,14.3601,15.9956,24.2975,35.0428,24.9963
3/19/14,14.3593,16.0009,24.151,34.9679,25.1258
3/18/14,14.3584,16.0731,24.2999,35.2087,25.3494
3/17/14,14.3575,16.056,24.125,34.8004,25.1845
3/14/14,14.3548,16.0915,23.8951,34.5906,25.0273
3/13/14,14.3539,16.0942,23.9623,34.4756,25.0853
3/12/14,14.353,16.0436,24.2427,34.9124,25.4441
3/11/14,14.3522,16.0106,24.2289,34.8044,25.6916
3/10/14,14.3513,16.0004,24.3517,35.0963,25.6749
3/7/14,14.3486,15.9926,24.3614,35.2319,25.819
3/6/14,14.3477,16.0318,24.3463,35.2642,25.9876
3/5/14,14.3468,16.0589,24.3002,35.2755,25.7807
3/4/14,14.346,16.0599,24.2968,35.3347,25.7334
3/3/14,14.3451,16.1157,23.9308,34.6226,25.4137
2/28/14,14.3424,16.0898,24.1075,34.8211,25.9031
2/27/14,14.3415,16.0898,24.0404,34.8961,25.7374
2/26/14,14.3406,16.063,23.9184,34.7102,25.7575
2/25/14,14.3398,16.0449,23.9135,34.5596,25.9211
2/24/14,14.3389,15.9982,23.9449,34.5587,25.8267
2/21/14,14.3362,16.0037,23.7974,34.3074,25.7318
2/20/14,14.3353,15.9852,23.8397,34.2623,25.5131
2/19/14,14.3344,16.0025,23.6926,33.9179,25.5346
2/18/14,14.3336,16.0187,23.8467,34.1866,25.6609
2/14/14,14.33,15.9904,23.8153,33.8737,25.3325
2/13/14,14.3291,16.0011,23.6991,33.8048,25.2391
2/12/14,14.3282,15.9607,23.5601,33.4499,25.2489
2/11/14,14.3273,15.9919,23.5545,33.3021,25.1394
2/10/14,14.3265,16.0162,23.2955,32.9952,24.8552
2/7/14,14.3238,16.0138,23.2586,32.9132,24.8955
2/6/14,14.3229,15.9817,22.953,32.5233,24.4617
2/5/14,14.322,15.994,22.6594,32.1675,24.138
2/4/14,14.3212,16.0225,22.6981,32.3232,24.1165
2/3/14,14.3203,16.0522,22.525,32.0202,24.0284
1/31/14,14.3173,15.9903,23.0515,33.0278,24.5333
1/30/14,14.3163,15.9726,23.2008,33.2034,24.661
1/29/14,14.3154,15.9864,22.9418,32.7233,24.7026
1/28/14,14.3144,15.9393,23.1758,33.1052,24.8367
1/27/14,14.3134,15.9208,23.034,32.7548,24.8007
1/24/14,14.3104,15.9425,23.1457,33.1269,24.8666
1/23/14,14.3094,15.9247,23.6395,33.9755,25.5775
1/22/14,14.3085,15.8681,23.8509,34.2403,25.6717
1/21/14,14.3075,15.8978,23.8342,34.0616,25.6059
1/17/14,14.3035,15.8894,23.7678,33.9022,25.6173
1/16/14,14.3025,15.8814,23.8597,34.0225,25.5727
1/15/14,14.3016,15.8461,23.8915,34.0065,25.572
1/14/14,14.3006,15.8556,23.7682,33.8289,25.4475
1/13/14,14.2996,15.8944,23.5137,33.3666,25.3692
1/10/14,14.2966,15.863,23.8105,33.8255,25.4923
1/9/14,14.2957,15.7803,23.7555,33.6281,25.2555
1/8/14,14.2947,15.7614,23.7473,33.6148,25.3944
1/7/14,14.2937,15.8054,23.745,33.5607,25.2897
1/6/14,14.2927,15.7849,23.6011,33.2606,25.263
1/3/14,14.2897,15.7565,23.6602,33.4538,25.3334
1/2/14,14.2888,15.7596,23.6673,33.347,25.286
12/31/13,14.287,15.7416,23.8752,33.6706,25.5644
12/30/13,14.2861,15.7607,23.7795,33.5305,25.5366
12/27/13,14.2834,15.7287,23.7822,33.5097,25.4739
12/26/13,14.2826,15.7306,23.7856,33.5351,25.1603
12/24/13,14.2808,15.7335,23.6733,33.4878,25.0603
